Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    AAC0FFE2 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

        392   DA 002A6500 SHELL32_CPL_IsLegacyCanonicalNameListedUnderKey
        393   DB 002A6520 SHELL32_CPL_ModifyWowDisplayName
        394   DC 002A6530 SHELL32_CRecentDocsContextMenu_CreateInstance
        395   DD 002A6540 SHELL32_CTransferConfirmation_CreateInstance
        396   DE 002A6550 SHELL32_CallFileCopyHooks
        397   DF 002A65B0 SHELL32_CanDisplayWin8CopyDialog
        398   E0 002A65E0 SHELL32_CloseAutoplayPrompt
        399   E1 002A65F0 SHELL32_CommandLineFromMsiDescriptor
        400   E2 0010E8D0 SHELL32_CopySecondaryTiles
        401   E3 002A6610 SHELL32_CreateConfirmationInterrupt
        402   E4 002A6620 SHELL32_CreateConflictInterrupt
        403   E5 002A6630 SHELL32_CreateDefaultOperationDataProvider
        404   E6 002A66B0 SHELL32_CreateFileFolderContextMenu
        405   E7 000BA530 SHELL32_CreateLinkInfoW
        406   E8 000DB220 SHELL32_CreateQosRecorder
        407   E9 002A66C0 SHELL32_CreateSharePointView
        408   EA 0024CC60 SHELL32_Create_IEnumUICommand
        409   EB 000BA510 SHELL32_DestroyLinkInfo
        410   EC 002A66D0 SHELL32_EncryptDirectory
        411   ED 002A66E0 SHELL32_EncryptedFileKeyInfo
        412   EE 002A6700 SHELL32_EnumCommonTasks
        413   EF 002A6710 SHELL32_FreeEncryptedFileKeyInfo
        414   F0 002A6730 SHELL32_GenerateAppID
        415   F1 002A6740 SHELL32_GetAppIDRoot
        416   F2 002A6750 SHELL32_GetCommandProviderForFolderType
        417   F3 000BA600 SHELL32_GetDPIAdjustedLogicalSize
        418   F4 002A6770 SHELL32_GetDiskCleanupPath
        419   F5 002A6780 SHELL32_GetFileNameFromBrowse
        420   F6 000B8D50 SHELL32_GetIconOverlayManager
        421   F7 002A6790 SHELL32_GetLinkInfoData
        422   F8 002A67B0 SHELL32_GetRatingBucket
        423   F9 002A67E0 SHELL32_GetSqmableFileName
        424   FA 002A67F0 SHELL32_GetThumbnailAdornerFromFactory
        425   FB 00005CF0 SHELL32_GetThumbnailAdornerFromFactory2
        426   FC 002A6800 SHELL32_HandleUnrecognizedFileSystem
        427   FD 0003BD60 SHELL32_IconCacheCreate
        428   FE 00039350 SHELL32_IconCacheDestroy
        429   FF 002A6810 SHELL32_IconCacheHandleAssociationChanged
        430  100 0003BD70 SHELL32_IconCacheRestore
        431  101 000D9040 SHELL32_IconCache_AboutToExtractIcons
        432  102 000D8E50 SHELL32_IconCache_DoneExtractingIcons
        433  103 000B5970 SHELL32_IconCache_ExpandEnvAndSearchPath
        434  104 000A8200 SHELL32_IconCache_RememberRecentlyExtractedIconsW
        435  105 00032FD0 SHELL32_IconOverlayManagerInit
        436  106 000BA2E0 SHELL32_IsGetKeyboardLayoutPresent
        437  107 000E8450 SHELL32_IsSystemUpgradeInProgress
        438  108 000B7FA0 SHELL32_IsValidLinkInfo
        439  109 002A6820 SHELL32_LegacyEnumSpecialTasksByType
        440  10A 002A6830 SHELL32_LegacyEnumTasks
        441  10B 00050E40 SHELL32_LookupBackIconIndex
        442  10C 0009C350 SHELL32_LookupFrontIconIndex
        443  10D 002A6840 SHELL32_NormalizeRating
        444  10E 002A6850 SHELL32_NotifyLinkTrackingServiceOfMove
        445  10F 001B2690 SHELL32_PifMgr_CloseProperties
        446  110 0010E8D0 SHELL32_PifMgr_GetProperties
        447  111 0010E8D0 SHELL32_PifMgr_OpenProperties
        448  112 0010E8D0 SHELL32_PifMgr_SetProperties
        449  113 002A6860 SHELL32_Printers_CreateBindInfo
        450  114 002A6870 SHELL32_Printjob_GetPidl
        451  115 002A6880 SHELL32_PurgeSystemIcon
        452  116 00032F70 SHELL32_RefreshOverlayImages
        453  117 002A6890 SHELL32_ResolveLinkInfoW
        454  118 002A68B0 SHELL32_SHAddSparseIcon
        455  119 002A68C0 SHELL32_SHCreateByValueOperationInterrupt
        456  11A 000BCAA0 SHELL32_SHCreateDefaultContextMenu
        457  11B 002A68D0 SHELL32_SHCreateLocalServer
        458  11C 000BD060 SHELL32_SHCreateShellFolderView
        459  11D 002A68E0 SHELL32_SHDuplicateEncryptionInfoFile
        460  11E 002A6900 SHELL32_SHEncryptFile
        461  11F 002A6910 SHELL32_SHFormatDriveAsync
        462  120 002A6920 SHELL32_SHGetThreadUndoManager
        463  121 0010E490 SHELL32_SHGetUserNameW
        464  122 002A6930 SHELL32_SHIsVirtualDevice
        465  123 002A6940 SHELL32_SHLaunchPropSheet
        466  124 002A6950 SHELL32_SHLogILFromFSIL
        467  125 002A6960 SHELL32_SHOpenWithDialog
        468  126 002A6970 SHELL32_SHStartNetConnectionDialogW
        469  127 00263F00 SHELL32_SHUICommandFromGUID
        470  128 004B5C10 SHELL32_SendToMenu_InvokeTargetedCommand
        471  129 004B5C60 SHELL32_SendToMenu_VerifyTargetedCommand
        472  12A 002A6990 SHELL32_ShowHideIconOnlyOnDesktop
        473  12B 002A69A0 SHELL32_SimpleRatingToFilterCondition
        474  12C 002A69B0 SHELL32_StampIconForFile
        475  12D 000BA550 SHELL32_SuspendUndo
        476  12E 002A6A10 SHELL32_TryVirtualDiscImageDriveEject
        477  12F 000AED70 SHELL32_VerifySaferTrust
        478  130 002A6E20 SHEmptyRecycleBinA
        479  131 002A6EB0 SHEmptyRecycleBinW
        480  132 00046430 SHEnableServiceObject
        481  133 00217ED0 SHEnumerateUnreadMailAccountsW
        482  134 00070D00 SHEvaluateSystemCommandTemplate
        483  135 002A9270 SHExecuteErrorMessageBox
        484  136 001AF500 SHExtractIconsW
        485  137 001BF130 SHFileOperation
        486  138 001BF130 SHFileOperationA
        487  139 001BF150 SHFileOperationW
         90  13A 00218230 SHFindFiles
        149  13B 002A9DE0 SHFind_InitMenuPopup
        526  13C 002AA4B0 SHFlushSFCache
        488  13D 00220080 SHFormatDrive
        195  13E 000A2660 SHFree
        489  13F 001BF170 SHFreeNameMappings
        750  140 00008800 SHGetAttributesFromDataObject
        490  141 0022A1A0 SHGetDataFromIDListA
        491  142 000AAD30 SHGetDataFromIDListW
        492  143 000BC730 SHGetDesktopFolder
        493  144 0022A2B0 SHGetDiskFreeSpaceA
        494  145 0022A2B0 SHGetDiskFreeSpaceExA
        495  146 0022A330 SHGetDiskFreeSpaceExW
        496  147 002B2250 SHGetDriveMedia
